Begin Date,End Date,Promotion,Link,Promo Code,Type
10/14/19,3/31/20,Winter Tires $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2019/Winter_Safe_1014-0331/ADV_DT-AT_SynCCwinter50_brief_20191014.pdf,87386,DT/AT/Direct
1/1/20,3/31/20,Goodyear Up To $75 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Goodyear_0101-0331/ADV_DT-AT_Goodyear_UpTo75_brief_20200101.pdf,N/A,Manufacturer
1/19/20,2/1/20,Yokohama YK740 GTX/YK-HTX $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Yokohama_0119-0201/ADV_DT-AT_Yokohama_brief_20200119.pdf,87212,DT/AT/Direct
2/1/20,2/15/20,Michelin $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Michelin_0201-0215/ADV_DT-AT_Michelin70_brief_20200201.pdf,87221,DT/AT/Direct
2/1/20,2/29/20,SynCC Everyday Up To $40 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/SynCC_0201-0229/ADV_DT-AT_SynCC-40_brief_202002.pdf,87229,DT/AT/Direct
2/1/20,2/15/20,Pirelli Strada $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Pirelli_0201-0215/ADV_DT-AT_Pirelli70_brief_20200201.pdf,87403,DT/AT/Direct
2/1/20,2/29/20,SynCC Tire-Wheel Package $80 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/SynCC_T_W_0201-0229/ADV_DT-AT_SynCC_Tire_Wheel_brief_20200201.pdf,87234,DT/AT/Direct
2/1/20,2/29/20,Vogue $75 Visa Prepaid Card,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Vogue_0201-0229/ADV_DT-AT_Vogue75_brief_20200201.pdf,N/A,Manufacturer
2/9/20,2/22/20,Continental $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Continental_0209-0222/ADV_DT-AT_Continental70_brief_20200209.pdf,10048,DT/AT/Direct
2/16/20,2/29/20,Bridgestone $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Bridgestone_0216-0229/ADV_DT-AT_Bridgestone70_brief_20200216.pdf,87408,DT/AT/Direct
2/16/20,2/29/20,Goodyear $50 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Goodyear_0216-0229/ADV_DT-AT_GDY50_brief_20200216.pdf,87193,DT/AT/Direct
2/21/20,3/15/20,Pirelli $70 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Pirelli_0221-0315/ADV_DT-AT_Pirelli70_brief_20200221.pdf,N/A,Manufacturer
2/21/20,4/18/20,Laufenn $40 Prepaid Mastercard,http://portalprd.discounttire.com/portal/server.pt/gateway/PTARGS_0_0_682_0_0_47/http%3B/wci-portlets/storeops/marketing/promotions/2020/Laufenn_0221-0418/ADV_DT-AT_Laufenn40_brief_20200221.pdf,N/A,Manufacturer